Categoría,2012,2013,2014,2015,2016,2017,2018,2019,2020
5 Estrellas,89,93,94,97,97,98,98,99,100
4 Estrellas,119,120,123,124,127,126,127,125,129
3 Estrellas,140,139,151,152,152,152,152,150,151
2 Estrellas,106,105,100,108,107,107,107,106,105
1 Estrella,96,96,91,91,89,89,89,87,87
Sin Clasificar,53,52,54,54,57,57,57,58,59
Total 1/ 2/,603,605,613,626,629,629,630,625,631
 ,,,,,,,,,
