Año Censal,Entidad,Actividad económica,UE Unidades económicas,M000A Total de ingresos por suministro de bienes y servicios (millones de pesos)
2018,09 Ciudad de México,Total estatal,427959,5613308.223
2018,09 Ciudad de México,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,56050,112914.019
2018,09 Ciudad de México,Subsector 721 Servicios de alojamiento temporal,945,25039.799
2018,09 Ciudad de México,"Rama 7211 Hoteles, moteles y similares",824,24478.67
2018,09 Ciudad de México,Rama 7212 Campamentos y albergues recreativos,6,69.783
2018,09 Ciudad de México,"Rama 7213 Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería",115,491.346
2013,09 Ciudad de México,Total estatal,415481,2828079.281
2013,09 Ciudad de México,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,49322,64411.784
2013,09 Ciudad de México,Subsector 721 Servicios de alojamiento temporal,899,10850.69
2013,09 Ciudad de México,"Rama 7211 Hoteles, moteles y similares",790,10663.776
2013,09 Ciudad de México,Rama 7212 Campamentos y albergues recreativos,3,2.325
2013,09 Ciudad de México,"Rama 7213 Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería",106,184.589
2008,09 Ciudad de México,Total estatal,382056,2732374.045
2008,09 Ciudad de México,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,41261,47634.615
2008,09 Ciudad de México,Subsector 721 Servicios de alojamiento temporal,823,8521.056
2008,09 Ciudad de México,"Rama 7211 Hoteles, moteles y similares",747,8477.676
2008,09 Ciudad de México,Rama 7212 Campamentos y albergues recreativos,3,2.026
2008,09 Ciudad de México,"Rama 7213 Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería",73,41.354
2003,09 Ciudad de México,Total estatal,342475,1573471.093
2003,09 Ciudad de México,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,35235,31266.022
2003,09 Ciudad de México,Subsector 721 Servicios de alojamiento temporal,682,6272.623
2003,09 Ciudad de México,"Rama 7211 Hoteles, moteles y similares",626,6247.974
2003,09 Ciudad de México,Rama 7212 Campamentos y albergues recreativos,1,
2003,09 Ciudad de México,"Rama 7213 Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería",55,
