ANIO,MES,IGRESE,ESTATUS
2014,Enero,97.992,Cifras definitivas
2014,Febrero,95.069,Cifras definitivas
2014,Marzo,99.27,Cifras definitivas
2014,Abril,99.711,Cifras definitivas
2014,Mayo,105.084,Cifras definitivas
2014,Junio,100.046,Cifras definitivas
2014,Julio,101.762,Cifras definitivas
2014,Agosto,99.397,Cifras definitivas
2014,Septiembre,98.552,Cifras definitivas
2014,Octubre,101.507,Cifras definitivas
2014,Noviembre,100.134,Cifras definitivas
2014,Diciembre,120.999,Cifras definitivas
2015,Enero,99.319,Cifras definitivas
2015,Febrero,98.182,Cifras definitivas
2015,Marzo,102.462,Cifras definitivas
2015,Abril,102.786,Cifras definitivas
2015,Mayo,109.025,Cifras definitivas
2015,Junio,103.768,Cifras definitivas
2015,Julio,105.729,Cifras definitivas
2015,Agosto,102.677,Cifras definitivas
2015,Septiembre,102.9,Cifras definitivas
2015,Octubre,105.815,Cifras definitivas
2015,Noviembre,104.747,Cifras definitivas
2015,Diciembre,126.294,Cifras definitivas
2016,Enero,102.24,Cifras definitivas
2016,Febrero,102.319,Cifras definitivas
2016,Marzo,108.639,Cifras definitivas
2016,Abril,106.624,Cifras definitivas
2016,Mayo,113.105,Cifras definitivas
2016,Junio,109.779,Cifras definitivas
2016,Julio,108.511,Cifras definitivas
2016,Agosto,108.71,Cifras definitivas
2016,Septiembre,109.677,Cifras definitivas
2016,Octubre,108.057,Cifras definitivas
2016,Noviembre,108.493,Cifras definitivas
2016,Diciembre,132.439,Cifras definitivas
2017,Enero,105.402,Cifras definitivas
2017,Febrero,104.152,Cifras definitivas
2017,Marzo,111.753,Cifras definitivas
2017,Abril,107.793,Cifras definitivas
2017,Mayo,115.808,Cifras definitivas
2017,Junio,111.83,Cifras definitivas
2017,Julio,108.748,Cifras definitivas
2017,Agosto,110.983,Cifras definitivas
2017,Septiembre,109.438,Cifras definitivas
2017,Octubre,109.792,Cifras definitivas
2017,Noviembre,111.734,Cifras definitivas
2017,Diciembre,132.921,Cifras definitivas
2018,Enero,107.448,Cifras definitivas
2018,Febrero,107.296,Cifras definitivas
2018,Marzo,114.508,Cifras definitivas
2018,Abril,112.344,Cifras definitivas
2018,Mayo,120.999,Cifras definitivas
2018,Junio,114.302,Cifras definitivas
2018,Julio,112.781,Cifras definitivas
2018,Agosto,115.602,Cifras definitivas
2018,Septiembre,111.708,Cifras definitivas
2018,Octubre,113.738,Cifras definitivas
2018,Noviembre,115.828,Cifras definitivas
2018,Diciembre,136.519,Cifras definitivas
2019,Enero,112.192,Cifras definitivas
2019,Febrero,111.462,Cifras definitivas
2019,Marzo,116.858,Cifras definitivas
2019,Abril,115.083,Cifras definitivas
2019,Mayo,125.145,Cifras definitivas
2019,Junio,116.106,Cifras definitivas
2019,Julio,116.179,Cifras definitivas
2019,Agosto,118.666,Cifras definitivas
2019,Septiembre,115.881,Cifras definitivas
2019,Octubre,117.972,Cifras definitivas
2019,Noviembre,117.115,Cifras definitivas
2019,Diciembre,141.377,Cifras definitivas
2020,Enero,114.932,Cifras definitivas
2020,Febrero,112.778,Cifras definitivas
2020,Marzo,115.933,Cifras definitivas
2020,Abril,110.024,Cifras definitivas
2020,Mayo,110.387,Cifras definitivas
2020,Junio,106.659,Cifras definitivas
2020,Julio,110.326,Cifras definitivas
2020,Agosto,109.102,Cifras definitivas
2020,Septiembre,109.809,Cifras definitivas
2020,Octubre,113.878,Cifras definitivas
2020,Noviembre,113.121,Cifras definitivas
2020,Diciembre,139.89,Cifras definitivas
2021,Enero,110.468,Cifras definitivas
2021,Febrero,108.862,Cifras definitivas
2021,Marzo,114.925,Cifras definitivas
2021,Abril,113.36,Cifras definitivas
2021,Mayo,118.383,Cifras definitivas
2021,Junio,112.773,Cifras definitivas
2021,Julio,114.256,Cifras definitivas
2021,Agosto,110.301,Cifras definitivas
2021,Septiembre,111.958,Cifras definitivas
2021,Octubre,111.49,Cifras definitivas
2021,Noviembre,111.765,Cifras definitivas
2021,Diciembre,138.555,Cifras definitivas
2022,Enero,109.97,Cifras preliminares
2022,Febrero,110.538,Cifras preliminares
2022,Marzo,117.002,Cifras preliminares
2022,Abril,115.356,Cifras preliminares
2022,Mayo,121.243,Cifras preliminares
2022,Junio,115.863,Cifras preliminares
2022,Julio,114.372,Cifras preliminares
2022,Agosto,114.325,Cifras preliminares
2022,Septiembre,115.533,Cifras preliminares
2022,Octubre,114.314,Cifras preliminares
2022,Noviembre,115.504,Cifras preliminares
2022,Diciembre,142.537,Cifras preliminares
2023,Enero,115.05,Cifras preliminares
2023,Febrero,114.359,Cifras preliminares
