"mh_col","scian","ingocup","se","cv"
1,1,27194490,14448013.2302931,0.531284581188802
2,3,54844000,27138253.7295013,0.494826302412321
1,4,372246210,75391637.6717411,0.202531646115997
2,4,293263010,84506202.1619035,0.288158408255796
1,5,357774702,54949208.5436585,0.153586064739867
2,5,869704395,164189813.894437,0.188788069645706
1,6,55858370,22996086.0321581,0.411685590398683
2,6,389475580,112569304.866533,0.289027889416156
1,7,552583330,73907130.3859353,0.133748389380359
2,7,814572991,142618630.323041,0.175083917462028
1,8,83922800,24314778.9647469,0.289727928104721
2,8,557377180,192599470.342304,0.345546027453624
1,9,3751320,3751320.00000002,1
2,9,313989310,93356979.0323922,0.29732534216656
1,10,51600000,51599999.9999999,0.999999999999998
2,10,832099000,298205523.692648,0.358377457120664
1,11,24458990,18734213.9266965,0.765943889207876
2,11,170773000,91771424.2977428,0.537388371099312
1,12,90779335,29945290.0985203,0.329869018081266
2,12,1013190200,195273443.791005,0.192731279665955
2,13,68802400,30319083.1057088,0.44066897529314
1,14,127406670,41098547.8007678,0.322577678239042
2,14,598429172,95989022.8243929,0.160401643695928
1,15,218752215,104997924.442154,0.479985651537992
2,15,1337380400,203352285.457513,0.152052688567526
1,16,78445433,25541494.4330527,0.325595684238911
2,16,797837000,129028497.911488,0.161722880627857
1,17,8430120,5955972.7161174,0.706511024293533
2,17,36918360,18172132.5250555,0.492224804272331
1,18,478691855,79796913.4441103,0.166697871732349
2,18,405403370,130730599.563074,0.322470431272128
1,19,718482487,76192794.1560873,0.106046835566205
2,19,204961955,54111100.5600301,0.264005583670541
1,20,162129300,44848364.0811308,0.276620969073022
2,20,1696249450,440943538.970771,0.25995206009987
1,21,14680380,9228815.62929681,0.628649641855102
2,21,0,0,NA
