Ingresos por Impuestos (Millones de Pesos) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepto registrados,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
Status,Recaudado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado,Estimado,registrado
Total,13196.2,13970.4,14014.9,15601.4,14748.2,15631.9,14725.8,16596.2,16982.3,16917.6,17832.7,18586.8,18641.2,19451.9,19847.1,19795.6,19399.9,21053.4,22694.1,24483.6,26026.6,27186.5,32176,29141.9,33404.2,34027.9,39898.7,37929.1,48025.3,,50702.7,50636.5,54012,57940.6,58171.8,57390.7,58792.1,60151.3,55764,57091.8,60484.4,60747.2,68815.1
Impuestos Sobre el Patrimonio ,,,,,,,,,,,,,,,,,,,,,,,,,17966.5,17779.2,20258.1,19071.7,26360.8,,26922,26416.3,29012.8,29919.9,31263,30772.3,31557.2,30504.1,28100.1,28333.4,30486.5,30790.7,33413.5
Predial,6094.8,6446.8,6241.6,6895.4,6558,6885.6,6299.4,7430.8,6521.6,7170.6,6601.5,7256.5,6509.7,6837.9,6645.6,6897.7,6731.4,7195.3,7417.2,8321.4,8905.7,9077.4,10517.2,9599.6,10340.9,10598.6,11513.5,11301.4,13908.9,,13611,13924.5,15055.1,15397.5,17436.1,16973.5,18785.1,17633.6,17135.9,18095.4,18499.6,19103.7,20977.4
Sobre adquisición de inmuebles,1282.3,1176.1,1689.4,1787.3,1949.6,2148.1,1801.7,2051.1,3336.1,2177.7,3216.7,3227.8,3590.4,3755.6,3877.7,3867.5,3052.9,2904,3260.9,3395.4,3690.5,3817.8,4232.4,3980,4886.4,4482,5902.7,4948.1,6427.5,,7446.1,6567.4,8518.6,9310.6,8624.8,8486.4,7806,7979.9,6442.9,5526.4,7657.4,7292.5,8319.9
Sobre tenencia o uso de vehículos,239.5,333.7,195.4,340.6,185.4,196.3,174.8,206.2,214.8,220.4,434.2,313.7,453.9,434.4,477.5,480.5,440.8,448.8,479.7,542.4,495.7,1648.4,2067.7,2198.7,2739.2,2698.5,2841.9,2822.3,6024.4,,5864.8,5924.4,5439.2,5211.9,5202.1,5312.4,4966,4890.7,4521.4,4711.6,4329.5,4394.5,4116.2
"Impuesto sobre la producción, el consumo y las transacciones",,,,,,,,,,,,,,,,,,,,,,,,844.8,925.5,844.8,897,932,967.7,,1404.9,1139.7,1559.4,1642.9,1525.4,1476.2,1367.6,2251,865.5,1312.9,1172,1435.8,2166.7
Sobre espectáculos públicos,114.5,116.2,132.5,123.9,95.5,128,106.4,134.3,144.4,142.6,177.5,147.7,134.7,132.9,147.9,140.5,233.9,170.4,209.1,177.4,102.9,127.3,392.6,132.9,281.5,258.8,235.6,273.5,249.2,,553.5,303.1,593.4,556.8,594.7,464.4,403.3,533.3,207.7,256.2,162.6,251.4,603.5
"Sobre loterías, rifas, sorteos y concursos",126.9,136.5,117,128.4,161.4,156.2,145.8,176.1,156.6,186.9,273.3,232.9,400.3,285.1,293.7,297.7,274.8,242.9,309.7,252.8,369.6,241.2,593,252.5,394.5,332,373.6,380.2,370.7,,444.5,420.5,527.5,520,440,499.6,456.7,584.1,231.1,428.4,339.8,428.6,482.2
Por la prestación de servicios de hospedaje,66.3,72.5,64.3,69.4,67.8,84.7,84.7,83.5,90.3,94.5,84.4,98.5,105.6,105.3,118.1,109,105.5,164.2,178.9,181.5,176.1,169.2,199.1,226.4,249.5,253.9,287.8,278.2,347.8,,406.9,416.1,438.5,566.1,490.7,512.2,507.7,601.7,217.6,345.8,314.7,388.9,645.1
Por la venta de bebidas con contenido alcoholico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100.1,117.2,109.8,211.4,208.3,206.5
Por las erogaciones en los juegos de apuestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,431.8,92,172.7,143.5,158.7,229.3
Impuestos sobre nóminas y asimilables,,,,,,,,,,,,,,,,,,,,,12286.1,12105.2,14174,12751.7,14020.8,14877.8,18196.6,17378.4,20248.4,,21677.7,22501,22707.4,25664.9,24817,24431.4,25439.4,26932.4,26279.3,26758.3,28268.2,28357.4,32550.8
Sobre  nóminas,5251.7,5688.6,5574.7,6256.3,5730.5,6032.9,6113.1,6514.1,6518.4,6924.9,7045.1,7309.9,7446.6,7894,8286.5,8002.8,8560.6,9927.9,10838.7,11612.7,12286.1,12105.2,14174,12751.7,14020.8,14877.8,18196.6,17378.4,20248.4,21677.7,21677.7,22501,22707.4,25664.9,24817,24431.4,25439.4,26932.4,26279.3,26758.3,28268.2,28357.4,32550.8
Accesorios de los impuestos,,,,,,,,,,,,,,,,,,,,,,,,,491.5,526.2,547,547,448.5,,698.1,579.5,732.3,712.9,566.4,710.8,427.9,463.8,519,687.2,557.7,163.3,684.2
