,Año,Nómina
0,2010,10838.7
1,2011,12286.1
2,2012,14174.0
3,2013,14020.8
4,2014,18196.6
5,2015,20248.4
6,2016,21677.7
7,2017,22707.4
8,2018,24817.0
9,2019,25439.4
10,2020,26279.3
11,2021,28268.2
12,2022,32550.8
